Date,Temperature,Humidity,WindSpeed,Pressure
2024-01-01,28,72,12,1012
2024-01-02,29,70,10,1011
2024-01-03,30,68,14,1010
2024-01-04,31,65,13,1009
2024-01-05,27,75,11,1013
2024-01-06,26,78,9,1014
2024-01-07,28,73,12,1012
2024-01-08,29,71,10,1011
2024-01-09,30,69,15,1010
2024-01-10,32,64,14,1008
2024-01-11,33,62,16,1007
2024-01-12,31,66,13,1009
2024-01-13,29,70,11,1011
2024-01-14,28,74,10,1012
2024-01-15,27,76,9,1013
2024-01-16,26,79,8,1014
2024-01-17,28,72,12,1012
2024-01-18,29,71,11,1011
2024-01-19,30,68,14,1010
2024-01-20,31,65,15,1009
2024-01-21,32,63,16,1008
2024-01-22,30,67,13,1010
2024-01-23,29,70,11,1011
2024-01-24,28,73,10,1012
2024-01-25,27,77,9,1013
2024-01-26,26,80,8,1014
2024-01-27,28,74,12,1012
2024-01-28,29,71,11,1011
2024-01-29,30,69,14,1010
2024-01-30,31,66,15,1009
2024-01-31,33,62,17,1007
2024-02-01,34,60,18,1006
2024-02-02,32,64,16,1008
2024-02-03,31,66,14,1009
2024-02-04,30,68,13,1010
2024-02-05,29,71,11,1011
2024-02-06,28,74,10,1012
2024-02-07,27,77,9,1013
2024-02-08,26,80,8,1014
2024-02-09,28,73,12,1012
2024-02-10,29,70,11,1011
2024-02-11,30,68,14,1010
2024-02-12,31,65,15,1009
2024-02-13,32,63,16,1008
2024-02-14,33,61,17,1007
2024-02-15,34,59,18,1006
2024-02-16,35,57,19,1005
2024-02-17,33,62,17,1007
2024-02-18,32,65,15,1008
2024-02-19,31,67,14,1009
2024-02-20,30,69,13,1010
